DSC,Model,Dataset
0.9792022109031676,DeepLabV3+,Fetal Head
0.9710917472839355,DeepLabV3+,Fetal Head
0.9709925651550292,DeepLabV3+,Fetal Head
0.9656165838241576,DeepLabV3+,Fetal Head
0.9831342101097108,DeepLabV3+,Fetal Head
0.9734259247779846,DeepLabV3+,Fetal Head
0.9685001373291016,DeepLabV3+,Fetal Head
0.9661999344825744,DeepLabV3+,Fetal Head
0.9787644743919371,DeepLabV3+,Fetal Head
0.9760334491729736,DeepLabV3+,Fetal Head
0.9825935363769532,DeepLabV3+,Fetal Head
0.9620961546897888,DeepLabV3+,Fetal Head
0.9758771061897278,DeepLabV3+,Fetal Head
0.9649860858917236,DeepLabV3+,Fetal Head
0.9802047610282898,DeepLabV3+,Fetal Head
0.9727195501327516,DeepLabV3+,Fetal Head
0.9675054550170898,DeepLabV3+,Fetal Head
0.972848653793335,DeepLabV3+,Fetal Head
0.9787026047706604,DeepLabV3+,Fetal Head
0.9739001393318176,DeepLabV3+,Fetal Head
0.9677384495735168,DeepLabV3+,Fetal Head
0.9801798462867736,DeepLabV3+,Fetal Head
0.9469759464263916,DeepLabV3+,Fetal Head
0.9674403667449952,DeepLabV3+,ISIC 2017
0.9117560386657716,DeepLabV3+,ISIC 2017
0.939766764640808,DeepLabV3+,ISIC 2017
0.9747148156166076,DeepLabV3+,ISIC 2017
0.6398734450340271,DeepLabV3+,ISIC 2017
0.8663578033447266,DeepLabV3+,ISIC 2017
0.9669760465621948,DeepLabV3+,ISIC 2017
0.9804896116256714,DeepLabV3+,ISIC 2017
0.974568784236908,DeepLabV3+,ISIC 2017
0.9588044285774232,DeepLabV3+,ISIC 2017
0.95230370759964,DeepLabV3+,ISIC 2017
0.9354625940322876,DeepLabV3+,ISIC 2017
0.9789516925811768,DeepLabV3+,ISIC 2017
0.9394810199737548,DeepLabV3+,ISIC 2017
0.932183027267456,DeepLabV3+,ISIC 2017
0.975561022758484,DeepLabV3+,ISIC 2017
0.9383519291877748,DeepLabV3+,ISIC 2017
0.966740608215332,DeepLabV3+,ISIC 2017
0.9615942239761353,DeepLabV3+,ISIC 2017
0.9599490165710448,DeepLabV3+,ISIC 2017
0.8999234437942505,DeepLabV3+,ISIC 2017
0.9367984533309937,DeepLabV3+,ISIC 2017
0.8043092489242554,DeepLabV3+,ISIC 2017
0.8288108706474304,DeepLabV3+,ISIC 2017
0.8509328365325928,DeepLabV3+,ISIC 2017
0.9645150303840636,DeepLabV3+,ISIC 2017
0.9751603007316588,DeepLabV3+,ISIC 2017
0.9757525324821472,DeepLabV3+,ISIC 2017
0.9475759267807008,DeepLabV3+,ISIC 2017
0.8838821053504944,DeepLabV3+,ISIC 2017
0.9403303265571594,DeepLabV3+,ISIC 2017
0.9749993085861206,DeepLabV3+,ISIC 2017
0.9705634117126464,DeepLabV3+,ISIC 2017
0.915547013282776,DeepLabV3+,ISIC 2017
0.922655701637268,DeepLabV3+,ISIC 2017
0.973305881023407,DeepLabV3+,ISIC 2017
0.8877221941947937,DeepLabV3+,ISIC 2017
0.9411903619766236,DeepLabV3+,ISIC 2017
0.8920456767082214,DeepLabV3+,ISIC 2017
0.9291853308677672,DeepLabV3+,ISIC 2017
0.9627716541290284,DeepLabV3+,ISIC 2017
0.97492253780365,DeepLabV3+,ISIC 2017
0.9297258257865906,DeepLabV3+,ISIC 2017
0.9396091103553772,DeepLabV3+,ISIC 2017
0.9499768614768982,DeepLabV3+,ISIC 2017
0.9076449871063232,DeepLabV3+,ISIC 2017
0.9623399376869202,DeepLabV3+,ISIC 2017
0.9702582955360411,DeepLabV3+,ISIC 2017
0.963346004486084,DeepLabV3+,ISIC 2017
0.9601447582244872,DeepLabV3+,ISIC 2017
0.9516794681549072,DeepLabV3+,ISIC 2017
0.960046648979187,DeepLabV3+,ISIC 2017
0.9836248159408568,DeepLabV3+,ISIC 2017
0.9578241109848022,DeepLabV3+,ISIC 2017
0.9772093892097472,DeepLabV3+,ISIC 2017
0.9421374797821044,DeepLabV3+,ISIC 2017
0.9490495920181274,DeepLabV3+,ISIC 2017
0.9836124777793884,DeepLabV3+,ISIC 2017
0.9619647264480592,DeepLabV3+,ISIC 2017
0.9596847891807556,DeepLabV3+,ISIC 2017
0.9655596017837524,DeepLabV3+,ISIC 2017
0.9770241975784302,DeepLabV3+,ISIC 2017
0.9263387322425842,DeepLabV3+,ISIC 2017
0.8834227323532104,DeepLabV3+,ISIC 2017
0.9765265583992004,DeepLabV3+,ISIC 2017
0.960086226463318,DeepLabV3+,ISIC 2017
0.9841002821922302,DeepLabV3+,ISIC 2017
0.9558911919593812,DeepLabV3+,ISIC 2017
0.9589458703994752,DeepLabV3+,ISIC 2017
0.9059038162231444,DeepLabV3+,ISIC 2017
0.9607821702957152,DeepLabV3+,ISIC 2017
0.8606197237968445,DeepLabV3+,ISIC 2017
0.9588240385055542,DeepLabV3+,ISIC 2017
0.9431055784225464,DeepLabV3+,ISIC 2017
0.971652626991272,DeepLabV3+,ISIC 2017
0.8431501984596252,DeepLabV3+,ISIC 2017
0.9804934859275818,DeepLabV3+,ISIC 2017
0.934983730316162,DeepLabV3+,ISIC 2017
0.9591302275657654,DeepLabV3+,ISIC 2017
0.9522042274475098,DeepLabV3+,ISIC 2017
0.9587507843971252,DeepLabV3+,ISIC 2017
0.961702048778534,DeepLabV3+,ISIC 2017
0.7967894673347473,DeepLabV3+,ISIC 2017
0.9286693930625916,DeepLabV3+,ISIC 2017
0.9783264994621276,DeepLabV3+,ISIC 2017
0.8607353568077087,DeepLabV3+,ISIC 2017
0.9482768177986144,DeepLabV3+,ISIC 2017
0.5204285979270935,DeepLabV3+,ISIC 2017
0.8779668807983398,DeepLabV3+,ISIC 2017
0.8710624575614929,DeepLabV3+,ISIC 2017
0.8564926385879517,DeepLabV3+,ISIC 2017
0.9621468782424928,DeepLabV3+,ISIC 2017
